"","package","repo","sha","org"
"1","fansi","https://github.com/brodieG/fansi","4b0df8aa1235d1db6c88b3bd17d0ed5bdd889af1","github"
"2","digest","https://github.com/eddelbuettel/digest","2afafceade983d11ad6d2252fb6ec4646bfb1023","github"
"3","assertthat","https://github.com/hadley/assertthat","50dc4b0a8a8c91d1ef47366a8f534065c32530ba","github"
"4","globals","https://github.com/HenrikBengtsson/globals","db2a5f7ff1828a0c128655fb6cc5ecbf4adf039c","github"
"5","askpass","https://github.com/jeroen/askpass","6d2f96d1016b386620edfff8387c539b3d404890","github"
"6","curl","https://github.com/jeroen/curl","8197fd61c3af2dbfd6b95eab5665cf7b9c7b9734","github"
"7","jsonlite","https://github.com/jeroen/jsonlite","6773daa89806d252afc95c1c439f17b5e459408c","github"
"8","openssl","https://github.com/jeroen/openssl","2bf4e913a6fa91472a7c384191ffc0995b07d9c9","github"
"9","sys","https://github.com/jeroen/sys","c4fd835c83ea3b018d28c45e7b565e33e93f2de6","github"
"10","utf8","https://github.com/patperry/r-utf8","ef30b3d872f2a3a66389e5cccef4cd93ce9b7f10","github"
"11","DBI","https://github.com/r-dbi/DBI","555adb0f9254ee4857ff850a53bbf89dfaa25664","github"
"12","cli","https://github.com/r-lib/cli","51463d2e3a3c1ae60661e8939f3eaf5248c23ec4","github"
"13","crayon","https://github.com/r-lib/crayon","f12019cef22ae15c291da917e7fcb6411878ed8f","github"
"14","ellipsis","https://github.com/r-lib/ellipsis","55fe5b861529bad3e9fe93650b48064cb2345c50","github"
"15","fastmap","https://github.com/r-lib/fastmap","d2722e7a285893e07a8df996cb070ac568469de0","github"
"16","generics","https://github.com/r-lib/generics","10fcdf1f8f96697a792d36d938d818b32ae95954","github"
"17","httr","https://github.com/r-lib/httr","c257ff18f15aeef145a69b3459f38ad5f22be8f5","github"
"18","lifecycle","https://github.com/r-lib/lifecycle","5e11675148a58af68fda4588cf933c655daff62c","github"
"19","pillar","https://github.com/r-lib/pillar","3fc9e849cd53e9100eb7ea73f23ca55cb968c5cf","github"
"20","pkgconfig","https://github.com/r-lib/pkgconfig","b81ae038aa5fe5d7c66c363d45a002cd8f0a4503","github"
"21","R6","https://github.com/r-lib/R6","97d1c35d1d091f5ad79d88c55dc97a80dc3ca779","github"
"22","rappdirs","https://github.com/r-lib/rappdirs","212b46397ea0f61983445bb7b5e9ce02f4fa8372","github"
"23","rlang","https://github.com/r-lib/rlang","22fe9e9d729d562fcfd580c7a350f56d7a864639","github"
"24","rprojroot","https://github.com/r-lib/rprojroot","7adc4dee2848c44f05e5ccdd862cc73c92bcb354","github"
"25","tidyselect","https://github.com/r-lib/tidyselect","ffd8c0cdae2b7daf0f0dc6a836af5470c1af9521","github"
"26","vctrs","https://github.com/r-lib/vctrs","bd6f05f0c9657bd0299acd733010bede072547e7","github"
"27","withr","https://github.com/r-lib/withr","a4e08dbca3d29224311bb1c1c4cb599006f215bf","github"
"28","xml2","https://github.com/r-lib/xml2","ab2078976c9ab57116c7c9175632e7d19d45273f","github"
"29","htmlwidgets","https://github.com/ramnathv/htmlwidgets","7b9c1ea3d9fbf4736d84f1fd1178fce0af29f8e3","github"
"30","config","https://github.com/rstudio/config","22106643140d59760a8d9219b4dcb640447d3885","github"
"31","forge","https://github.com/rstudio/forge","39d9e3f66f559917584bb873a4043d807e4ce262","github"
"32","htmltools","https://github.com/rstudio/htmltools","9490b627a33ace7cf04ad1e13d2a2c165021c3e6","github"
"33","r2d3","https://github.com/rstudio/r2d3","becfb81989c7fabfe79dee2dde999190025d4ba3","github"
"34","rstudioapi","https://github.com/rstudio/rstudioapi","51bf321632afc9c193bcef0f0d2bebddb9122832","github"
"35","base64enc","https://github.com/s-u/base64enc","ed26ec43992a3a12ffcddd3da308960135ff8a5e","github"
"36","uuid","https://github.com/s-u/uuid","f363e84feb53f9e558417efa00a37cf379e057c4","github"
"37","blob","https://github.com/tidyverse/blob","170bcbe4e93a95c7c645986d0dc68167876594eb","github"
"38","dbplyr","https://github.com/tidyverse/dbplyr","ec2b74ba98625c06207de4f37a02148baf2441e6","github"
"39","dplyr","https://github.com/tidyverse/dplyr","8abb54b60e40ef7c619156a12b14872cb2eb7989","github"
"40","glue","https://github.com/tidyverse/glue","d47d6c7701f738f8647b951df418cfd5e6a7bf76","github"
"41","magrittr","https://github.com/tidyverse/magrittr","da4e28360698be80760d198dabb7f03dcc6c97ce","github"
"42","purrr","https://github.com/tidyverse/purrr","d4b7ad1e6f2ae5a8242f722d18c4f6770a989ef4","github"
"43","tibble","https://github.com/tidyverse/tibble","746af204b1f2175582d6c7f9d87136958bf57d32","github"
"44","tidyr","https://github.com/tidyverse/tidyr","85b0538044e041ad5188a0080b3e0936e44f6b70","github"
"45","yaml","https://github.com/vubiostat/r-yaml","60c9176a1091d671972957a17fc6a061afe8d30a","github"
"46","mime","https://github.com/yihui/mime","8773e2b13cf03e3e8a00df774c9a5d7cb3a4de21","github"
"47","codetools","https://gitlab.com/luke-tierney/codetools","",""
